epoch,train_loss,train_acc,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS
1,2.157942484664917,0.2083,0.2552,0.3312,0.2552,128,softmax,0.01,0.25,100,6,18000,20
2,1.8581152867126465,0.35892,0.2794,0.3793,0.2794,128,softmax,0.01,0.25,100,6,18000,20
3,1.728850613708496,0.40512,0.2971,0.4131,0.2971,128,softmax,0.01,0.25,100,6,18000,20
4,1.6595951151275634,0.43136,0.3189,0.4301,0.3189,128,softmax,0.01,0.25,100,6,18000,20
5,1.605370736694336,0.45148,0.3201,0.4353,0.3201,128,softmax,0.01,0.25,100,6,18000,20
6,1.5589672777938843,0.4671,0.3256,0.4519,0.3256,128,softmax,0.01,0.25,100,6,18000,20
7,1.528809429588318,0.48032,0.3472,0.455,0.3472,128,softmax,0.01,0.25,100,6,18000,20
8,1.4874792380142212,0.49362,0.3449,0.4601,0.3449,128,softmax,0.01,0.25,100,6,18000,20
9,1.4912588752365112,0.50096,0.3298,0.4585,0.3298,128,softmax,0.01,0.25,100,6,18000,20
10,1.4295572731399535,0.5133,0.3432,0.4609,0.3432,128,softmax,0.01,0.25,100,6,18000,20
1,2.0702301055526733,0.3238,0.2944,0.3726,0.2944,128,sparsemax,0.01,0.25,100,6,18000,20
2,1.8146982323455811,0.40244,0.3212,0.4176,0.3212,128,sparsemax,0.01,0.25,100,6,18000,20
3,1.7509582535171508,0.42884,0.326,0.4235,0.326,128,sparsemax,0.01,0.25,100,6,18000,20
4,1.6754241382598878,0.44344,0.3403,0.4286,0.3403,128,sparsemax,0.01,0.25,100,6,18000,20
5,1.6239128805160523,0.4566,0.348,0.442,0.348,128,sparsemax,0.01,0.25,100,6,18000,20
6,1.6162204447174073,0.46578,0.3393,0.4408,0.3393,128,sparsemax,0.01,0.25,100,6,18000,20
7,1.6088305294799805,0.4686,0.3411,0.4487,0.3411,128,sparsemax,0.01,0.25,100,6,18000,20
8,1.5887840650177,0.47382,0.3499,0.4493,0.3499,128,sparsemax,0.01,0.25,100,6,18000,20
9,1.5597434029388428,0.4824,0.3456,0.4491,0.3456,128,sparsemax,0.01,0.25,100,6,18000,20
10,1.5233354815673827,0.48654,0.3566,0.4518,0.3566,128,sparsemax,0.01,0.25,100,6,18000,20
1,2.3053898692321777,0.0995,0.0884,0.1,0.0884,128,softmax,0.01,0.25,100,10,18000,20
2,2.305065941238403,0.0989,0.096,0.1,0.096,128,softmax,0.01,0.25,100,10,18000,20
3,2.279360431213379,0.12618,0.0911,0.1458,0.0911,128,softmax,0.01,0.25,100,10,18000,20
4,2.2343049159240724,0.15946,0.1094,0.1989,0.1094,128,softmax,0.01,0.25,100,10,18000,20
5,2.1900293867492677,0.19756,0.1309,0.2071,0.1309,128,softmax,0.01,0.25,100,10,18000,20
6,2.1603451043701174,0.21566,0.1349,0.2259,0.1349,128,softmax,0.01,0.25,100,10,18000,20
7,2.1259590757751465,0.24,0.1472,0.2564,0.1472,128,softmax,0.01,0.25,100,10,18000,20
8,2.084934585571289,0.26166,0.1553,0.2704,0.1553,128,softmax,0.01,0.25,100,10,18000,20
9,2.049222655944824,0.27652,0.1527,0.288,0.1527,128,softmax,0.01,0.25,100,10,18000,20
10,2.019667099227905,0.28844,0.1531,0.2969,0.1531,128,softmax,0.01,0.25,100,10,18000,20
1,3.271893535080708e+16,0.21462,0.1537,0.2248,0.1537,128,sparsemax,0.01,0.25,100,10,18000,20
2,5473675.668306358,0.27286,0.1762,0.2624,0.1762,128,sparsemax,0.01,0.25,100,10,18000,20
3,15640734.838699246,0.28182,0.1864,0.2746,0.1864,128,sparsemax,0.01,0.25,100,10,18000,20
4,155319.3157570067,0.28684,0.181,0.2658,0.181,128,sparsemax,0.01,0.25,100,10,18000,20
5,709.3670108215332,0.29052,0.1835,0.2844,0.1835,128,sparsemax,0.01,0.25,100,10,18000,20
6,49635895.9304506,0.28892,0.19,0.2886,0.19,128,sparsemax,0.01,0.25,100,10,18000,20
7,7917.317650823365,0.28516,0.1887,0.2884,0.1887,128,sparsemax,0.01,0.25,100,10,18000,20
1,2.157761010475159,0.2114,0.2449,0.3245,0.2449,128,softmax,0.01,0.25,100,6,18000,20
2,1.8494474307632447,0.36118,0.2737,0.3928,0.2737,128,softmax,0.01,0.25,100,6,18000,20
3,1.7237824521255494,0.408,0.3009,0.4127,0.3009,128,softmax,0.01,0.25,100,6,18000,20
4,1.6509693655014037,0.43632,0.3045,0.4324,0.3045,128,softmax,0.01,0.25,100,6,18000,20
5,1.5991889432144164,0.45458,0.3171,0.4421,0.3171,128,softmax,0.01,0.25,100,6,18000,20
6,1.5549267588806153,0.47032,0.3213,0.4485,0.3213,128,softmax,0.01,0.25,100,6,18000,20
7,1.5186232566070557,0.48572,0.3247,0.4532,0.3247,128,softmax,0.01,0.25,100,6,18000,20
8,1.4846650424194336,0.49694,0.3287,0.4596,0.3287,128,softmax,0.01,0.25,100,6,18000,20
9,1.470497155303955,0.5062,0.3459,0.4573,0.3459,128,softmax,0.01,0.25,100,6,18000,20
10,1.7545366909790039,0.51462,0.3566,0.4614,0.3566,128,softmax,0.01,0.25,100,6,18000,20
1,15.176017548675537,0.45912,0.4085,0.4393,0.4085,128,softmax,0.01,0.25,100,6,18000,20
2,3.1963646410369875,0.4813,0.41,0.4425,0.41,128,softmax,0.01,0.25,100,6,18000,20
3,2.766767080345154,0.48702,0.4151,0.444,0.4151,128,softmax,0.01,0.25,100,6,18000,20
4,2.5947971477508545,0.48834,0.4036,0.4394,0.4036,128,softmax,0.01,0.25,100,6,18000,20
5,2.3969355282592772,0.48914,0.4152,0.4419,0.4152,128,softmax,0.01,0.25,100,6,18000,20
6,2.2801286502838134,0.49128,0.4181,0.4438,0.4181,128,softmax,0.01,0.25,100,6,18000,20
7,2.2320799631500243,0.49244,0.4164,0.4427,0.4164,128,softmax,0.01,0.25,100,6,18000,20
8,2.2115264138793944,0.49142,0.4174,0.443,0.4174,128,softmax,0.01,0.25,100,6,18000,20
9,2.171880436935425,0.4935,0.4131,0.4433,0.4131,128,softmax,0.01,0.25,100,6,18000,20
10,2.187068277206421,0.49188,0.4134,0.4435,0.4134,128,softmax,0.01,0.25,100,6,18000,20
11,2.2186867472076415,0.49264,0.417,0.4433,0.417,128,softmax,0.01,0.25,100,6,18000,20
1,1.4802885256195069,0.51336,0.4208,0.4682,0.4208,128,softmax,0.01,0.25,100,6,18000,20
2,1.3845680364227295,0.53574,0.4113,0.4709,0.4113,128,softmax,0.01,0.25,100,6,18000,20
3,1.3443798264694213,0.54594,0.4138,0.4723,0.4138,128,softmax,0.01,0.25,100,6,18000,20
4,1.3209581679153442,0.55392,0.4081,0.4722,0.4081,128,softmax,0.01,0.25,100,6,18000,20
5,1.3029686044311524,0.56128,0.4118,0.4725,0.4118,128,softmax,0.01,0.25,100,6,18000,20
6,1.2804890101242066,0.56814,0.4076,0.4719,0.4076,128,softmax,0.01,0.25,100,6,18000,20
7,1.3482753246307373,0.5665,0.4021,0.4768,0.4021,128,softmax,0.01,0.25,100,6,18000,20
1,4.57521223777771,0.49906,0.4247,0.4511,0.4247,128,softmax,0.01,0.25,100,6,18000,20
2,2.037101953430176,0.51856,0.4304,0.4549,0.4304,128,softmax,0.01,0.25,100,6,18000,20
3,1.8629492402267456,0.52254,0.4258,0.4531,0.4258,128,softmax,0.01,0.25,100,6,18000,20
4,1.7842394229507446,0.52526,0.4209,0.4515,0.4209,128,softmax,0.01,0.25,100,6,18000,20
5,1.7330180541229248,0.52818,0.4255,0.4538,0.4255,128,softmax,0.01,0.25,100,6,18000,20
6,1.7046186403656005,0.5296,0.4241,0.4546,0.4241,128,softmax,0.01,0.25,100,6,18000,20
