epoch,train_loss,train_acc,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS,CONNECTIONS,NOISE_TEMP
1,38688560400408.16,0.22538,0.1441,0.2224,0.1441,128,sparsemax_noise,0.01,1,100,8,128000,2000,,0.1
2,1820414736402884.8,0.23894,0.175,0.2659,0.175,128,sparsemax_noise,0.01,1,100,8,128000,2000,,0.1
3,7513861221582407.0,0.2454,0.1716,0.2328,0.1716,128,sparsemax_noise,0.01,1,100,8,128000,2000,,0.1
4,1.698523375174882e+17,0.21122,0.1561,0.1933,0.1561,128,sparsemax_noise,0.01,1,100,8,128000,2000,,0.1
5,3.597498468216681e+16,0.19778,0.1635,0.2012,0.1635,128,sparsemax_noise,0.01,1,100,8,128000,2000,,0.1
1,595023439525.1082,0.23408,0.1489,0.2385,0.1489,128,sparsemax_noise,0.01,1,100,8,60000,2000,,0.1
2,87211445320866.2,0.22336,0.1535,0.2204,0.1535,128,sparsemax_noise,0.01,1,100,8,60000,2000,,0.1
3,51834807445440.2,0.22004,0.1611,0.2154,0.1611,128,sparsemax_noise,0.01,1,100,8,60000,2000,,0.1
4,1055093916270.4136,0.21132,0.1442,0.2227,0.1442,128,sparsemax_noise,0.01,1,100,8,60000,2000,,0.1
5,169062483805.6216,0.21834,0.1564,0.2132,0.1564,128,sparsemax_noise,0.01,1,100,8,60000,2000,,0.1
6,22298420773.009922,0.21324,0.1522,0.2129,0.1522,128,sparsemax_noise,0.01,1,100,8,60000,2000,,0.1
7,4875438623.154344,0.20726,0.1761,0.2075,0.1761,128,sparsemax_noise,0.01,1,100,8,60000,2000,,0.1
8,27082376878.739674,0.21156,0.1658,0.2164,0.1658,128,sparsemax_noise,0.01,1,100,8,60000,2000,,0.1
9,1332317257.1061223,0.20872,0.1663,0.2159,0.1663,128,sparsemax_noise,0.01,1,100,8,60000,2000,,0.1
10,286533028.3951756,0.21888,0.1697,0.2174,0.1697,128,sparsemax_noise,0.01,1,100,8,60000,2000,,0.1
11,3805732144.2126737,0.20908,0.1619,0.2068,0.1619,128,sparsemax_noise,0.01,1,100,8,60000,2000,,0.1
12,2355714514331.1934,0.21694,0.1687,0.2226,0.1687,128,sparsemax_noise,0.01,1,100,8,60000,2000,,0.1
13,8414224969.0469,0.21536,0.1655,0.2169,0.1655,128,sparsemax_noise,0.01,1,100,8,60000,2000,,0.1
14,343904834.1539772,0.2172,0.1707,0.2212,0.1707,128,sparsemax_noise,0.01,1,100,8,60000,2000,,0.1
15,29472867578.346535,0.21264,0.1723,0.2135,0.1723,128,sparsemax_noise,0.01,1,100,8,60000,2000,,0.1
16,2188212305.8014054,0.21192,0.159,0.215,0.159,128,sparsemax_noise,0.01,1,100,8,60000,2000,,0.1
1,94127544.97026578,0.25742,0.1902,0.2727,0.1902,128,sparsemax,0.01,1,100,8,30000,2000,,0.1
2,10711390621.668348,0.26158,0.2017,0.2517,0.2017,128,sparsemax,0.01,1,100,8,30000,2000,,0.1
3,18867350754.43636,0.24434,0.1879,0.2393,0.1879,128,sparsemax,0.01,1,100,8,30000,2000,,0.1
4,12116285579.381582,0.2324,0.1964,0.2362,0.1964,128,sparsemax,0.01,1,100,8,30000,2000,,0.1
5,15492937626.870726,0.2277,0.1901,0.2315,0.1901,128,sparsemax,0.01,1,100,8,30000,2000,,0.1
6,8359232052.661064,0.22918,0.194,0.2313,0.194,128,sparsemax,0.01,1,100,8,30000,2000,,0.1
7,1965165865.02717,0.22528,0.2012,0.2272,0.2012,128,sparsemax,0.01,1,100,8,30000,2000,,0.1
1,716076076.6533403,0.25854,0.1931,0.2897,0.1931,128,sparsemax,0.01,1,100,8,30000,2000,,0.1
2,811336.0766415454,0.28352,0.1783,0.2859,0.1783,128,sparsemax,0.01,1,100,8,30000,2000,,0.1
1,13371080.106574917,0.26954,0.2114,0.2992,0.2114,128,sparsemax,0.01,1,100,8,30000,2000,,0.1
2,4570748142117.589,0.23692,0.171,0.209,0.171,128,sparsemax,0.01,1,100,8,30000,2000,,0.1
3,14633359384702.42,0.20534,0.189,0.2013,0.189,128,sparsemax,0.01,1,100,8,30000,2000,,0.1
4,3592987839768.8423,0.20352,0.1864,0.202,0.1864,128,sparsemax,0.01,1,100,8,30000,2000,,0.1
5,671466645599.0354,0.20158,0.18,0.1992,0.18,128,sparsemax,0.01,1,100,8,30000,2000,,0.1
1,13608.157069730834,0.3004,0.207,0.3108,0.207,128,sparsemax,0.01,1,100,8,30000,2000,,0.1
2,125358426.9432373,0.27936,0.213,0.2792,0.213,128,sparsemax,0.01,1,100,8,30000,2000,,0.1
1,1945163.0778109252,0.27486,0.2171,0.2799,0.2171,128,sparsemax_noise,0.01,1,100,8,30000,2000,,0.1
2,2021406.2250283544,0.26136,0.2019,0.2572,0.2019,128,sparsemax_noise,0.01,1,100,8,30000,2000,,0.1
3,101489920.4385826,0.25534,0.2122,0.2396,0.2122,128,sparsemax_noise,0.01,1,100,8,30000,2000,,0.1
4,11993946.788779687,0.24336,0.2292,0.2513,0.2292,128,sparsemax_noise,0.01,1,100,8,30000,2000,,0.1
1,11127813.66636832,0.23986,0.2159,0.2442,0.2159,128,sparsemax_noise,0.01,1,100,8,30000,2000,,0.1
2,4314166.061849531,0.2402,0.2204,0.2457,0.2204,128,sparsemax_noise,0.01,1,100,8,30000,2000,,0.1
3,11512286.476198515,0.23988,0.2212,0.2429,0.2212,128,sparsemax_noise,0.01,1,100,8,30000,2000,,0.1
4,242750242.49956375,0.23794,0.2256,0.2458,0.2256,128,sparsemax_noise,0.01,1,100,8,30000,2000,,0.1
1,4932657.2405196875,0.23188,0.2208,0.2395,0.2208,128,sparsemax_noise,0.01,1,100,8,30000,2000,,0.1
2,6351009.868043594,0.23374,0.2187,0.2428,0.2187,128,sparsemax_noise,0.01,1,100,8,30000,2000,,0.1
3,23668208.7965125,0.23314,0.2221,0.2345,0.2221,128,sparsemax_noise,0.01,1,100,8,30000,2000,,0.1
