epoch,train_loss,train_acc,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS
1,2.3032011277516684,0.12143333333333334,0.1562,0.2401,0.1562,128,softmax,0.01,0.25,30,9,32000,20
2,1.4639866148312886,0.6407166666666667,0.6546,0.8094,0.6546,128,softmax,0.01,0.25,30,9,32000,20
3,0.6695496317227682,0.8322166666666667,0.773,0.868,0.773,128,softmax,0.01,0.25,30,9,32000,20
4,0.49586929984092715,0.8706333333333334,0.7394,0.8908,0.7394,128,softmax,0.01,0.25,30,9,32000,20
5,0.4211974411169688,0.8873166666666666,0.7905,0.9011,0.7905,128,softmax,0.01,0.25,30,9,32000,20
6,0.3767784140427907,0.8974333333333333,0.7438,0.9056,0.7438,128,softmax,0.01,0.25,30,9,32000,20
1,0.5641698803504308,0.8319333333333333,0.9458,0.944,0.9458,128,sparsemax,0.01,0.25,30,9,32000,20
2,0.18201583836873372,0.9500666666666666,0.9574,0.9585,0.9574,128,sparsemax,0.01,0.25,30,9,32000,20
3,0.13966770513455073,0.96125,0.9631,0.9644,0.9631,128,sparsemax,0.01,0.25,30,9,32000,20
4,0.11980655183792115,0.9676,0.9617,0.9667,0.9617,128,sparsemax,0.01,0.25,30,9,32000,20
5,0.10630156017144521,0.9719666666666666,0.9599,0.9644,0.9599,128,sparsemax,0.01,0.25,30,9,32000,20
1,0.09817219072977702,0.9748,0.9672,0.9704,0.9672,128,sparsemax,0.01,0.25,30,9,32000,20
2,0.0931582491517067,0.9765833333333334,0.9656,0.9699,0.9656,128,sparsemax,0.01,0.25,30,9,32000,20
3,0.08895323655207951,0.9775833333333334,0.9683,0.9708,0.9683,128,sparsemax,0.01,0.25,30,9,32000,20
4,0.08606312920649846,0.9789,0.9705,0.971,0.9705,128,sparsemax,0.01,0.25,30,9,32000,20
5,0.08429734428723654,0.9795833333333334,0.9654,0.9708,0.9654,128,sparsemax,0.01,0.25,30,9,32000,20
1,1.8749154443740845,0.39635,0.8864,0.7925,0.8864,128,sparsemax,0.01,0.25,30,9,32000,20
2,0.6220976325352987,0.8417666666666667,0.8768,0.8809,0.8768,128,sparsemax,0.01,0.25,30,9,32000,20
3,0.4336040439605713,0.8830166666666667,0.9043,0.8961,0.9043,128,sparsemax,0.01,0.25,30,9,32000,20
4,0.3721389083703359,0.898,0.9097,0.9111,0.9097,128,sparsemax,0.01,0.25,30,9,32000,20
