epoch,train_loss,train_acc,kl_loss,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,VARIANCE_LR,KL_BETA,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS,CONNECTIONS
1,2.286046783701579,0.1202,799889.8592750533,0.3693,0.1443,0.3693,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
2,2.247580908584595,0.21188333333333334,800884.1747068231,0.46,0.3262,0.46,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
3,2.197331660588582,0.4292166666666667,803016.2605277186,0.4748,0.4983,0.4748,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
4,2.1306635400136313,0.5487,806399.5021321962,0.5278,0.6146,0.5278,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
5,2.0477488496144614,0.6239833333333333,811052.2182835821,0.6449,0.6775,0.6449,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
6,1.9523451935450236,0.67305,816901.0335820896,0.6354,0.7079,0.6354,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
7,1.8504081956863403,0.701,823804.0972814499,0.6573,0.7317,0.6573,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
8,1.7476659713109335,0.7244,831568.8760660981,0.7,0.7487,0.7,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
9,1.648553936767578,0.73945,840031.7963752665,0.7305,0.7627,0.7305,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
10,1.5558595204035441,0.7546333333333334,849061.0621002133,0.7567,0.7743,0.7567,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
11,1.4710998420079548,0.7663333333333333,858525.1615138593,0.7729,0.7836,0.7729,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
12,1.3949332476298015,0.7730833333333333,868332.858608742,0.7829,0.7904,0.7829,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
13,1.3272038188298543,0.78145,878403.0245202559,0.7864,0.7975,0.7864,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
14,1.267182440884908,0.7898833333333334,888691.0555703625,0.798,0.8015,0.798,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
15,1.214152609761556,0.79405,899194.3435501066,0.8072,0.8073,0.8072,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
16,1.1672211188634236,0.7994166666666667,909870.9460287846,0.8151,0.8131,0.8151,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
17,1.1256558823903402,0.804,920757.9477611941,0.8132,0.8153,0.8132,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
18,1.0887919644673665,0.8078666666666666,931814.7053571428,0.8175,0.8187,0.8175,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
19,1.0559539753595988,0.8101833333333334,943048.0764925373,0.8171,0.8214,0.8171,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
20,1.0266294862747192,0.8137,954478.5282515992,0.8211,0.8251,0.8211,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
1,1.0003732330004373,0.8162333333333334,966117.5065298508,0.8209,0.8275,0.8209,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
2,0.9768055200894674,0.8182833333333334,977917.7907782516,0.8212,0.83,0.8212,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
3,0.955582893149058,0.8210833333333334,989912.205890192,0.8269,0.8317,0.8269,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
4,0.936425200621287,0.8227666666666666,1002111.411380597,0.8318,0.8333,0.8318,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
5,0.9190756330808004,0.82475,1014473.1917643923,0.832,0.8356,0.832,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
6,0.9033137731870016,0.8266,1027048.1018123667,0.8345,0.8365,0.8345,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
7,0.8889645621299743,0.8288,1039808.2723880596,0.8351,0.8387,0.8351,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
8,0.8758469639778137,0.8304,1052754.0135927505,0.838,0.8396,0.838,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
9,0.8638506184895833,0.8317833333333333,1065917.0658315565,0.8409,0.8409,0.8409,128,balenas,0.0003,0.001,1e-10,0.25,30,2,5000,20,random
