epoch,train_loss,train_acc,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS,CONNECTIONS
1,2.277683703358968,0.1779,0.3537,0.4324,0.3537,128,softmax,0.01,0.25,30,8,1000,20,random
2,1.892844295056661,0.5817833333333333,0.6745,0.6716,0.6745,128,softmax,0.01,0.25,30,8,1000,20,random
3,1.6839402163187662,0.6848333333333333,0.7181,0.7201,0.7181,128,softmax,0.01,0.25,30,8,1000,20,random
4,1.6308354647318521,0.7075333333333333,0.7222,0.724,0.7222,128,softmax,0.01,0.25,30,8,1000,20,random
5,1.6116835459391277,0.7143166666666667,0.7249,0.7306,0.7249,128,softmax,0.01,0.25,30,8,1000,20,random
6,1.5980940991719563,0.7207833333333333,0.7291,0.7354,0.7291,128,softmax,0.01,0.25,30,8,1000,20,random
7,1.5860678148269653,0.7249333333333333,0.7389,0.7405,0.7389,128,softmax,0.01,0.25,30,8,1000,20,random
8,1.5794533742904664,0.7306166666666667,0.7456,0.7421,0.7456,128,softmax,0.01,0.25,30,8,1000,20,random
9,1.5707579767227173,0.73195,0.7472,0.7441,0.7472,128,softmax,0.01,0.25,30,8,1000,20,random
10,1.5665467425028483,0.7332333333333333,0.7512,0.7483,0.7512,128,softmax,0.01,0.25,30,8,1000,20,random
11,1.562434267171224,0.7364,0.7548,0.7521,0.7548,128,softmax,0.01,0.25,30,8,1000,20,random
12,1.5578778169631957,0.7383666666666666,0.757,0.7538,0.757,128,softmax,0.01,0.25,30,8,1000,20,random
13,1.5547467140197755,0.74085,0.7564,0.7543,0.7564,128,softmax,0.01,0.25,30,8,1000,20,random
14,1.553281969134013,0.7411,0.76,0.7542,0.76,128,softmax,0.01,0.25,30,8,1000,20,random
15,1.5501837404251098,0.74185,0.7603,0.7561,0.7603,128,softmax,0.01,0.25,30,8,1000,20,random
16,1.5458329341252646,0.7444166666666666,0.7605,0.758,0.7605,128,softmax,0.01,0.25,30,8,1000,20,random
